total_meetings,lead_Score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,main_objections,product_interest_level,meeting_outcome,customer_requirements,risk_factors,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_Score
5,33.4,Negative,Medium,5,Under Review,No,High,Security / Compliance Concerns; Unfavorable Contract Terms; Lack of Internal Buy-in,Medium,Discussed Requirements,Scalable Infrastructure,No Risk Identified,Yes,37.9,Partially Ready,No,11
7,29.5,Positive,Low,3,Not Allocated,No,Medium,Budget Not Allocated; Competitor Preference,Medium,No Show / Cancelled,Customized Integration,Stakeholder Turnover,Yes,45.4,Ready,No,1
12,100,Positive,High,10,Fully Approved,Yes,High,No Objections,Very High,Verbal Agreement,Enterprise-grade Security,No Risk Identified,No,100,Fully Ready,Yes,97
2,3.7,Negative,Low,1,Not Allocated,No,Low,Competitor Preference,Low,No Show / Cancelled,API / Technical Integration,No Risk Identified,No,23.5,Not Ready,No,1
7,30.2,Neutral,Low,3,Not Allocated,No,Low,Missing Features; Long Implementation Time; Competitor Preference,Medium,No Show / Cancelled,Scalable Infrastructure,Budget Constraints,Yes,16.1,Not Ready,No,1
12,83.6,Positive,High,3,Fully Approved,Yes,Critical,No Objections,High,Verbal Agreement,Customized Integration,No Risk Identified,No,62.2,Ready,Yes,98
4,19.4,Negative,Low,1,Not Allocated,No,Medium,Price Too High; Missing Features; Long Implementation Time; No Urgent Business Need; Lack of Internal Buy-in,Low,Rescheduled,Customized Integration,Timeline Conflict,No,15,Not Ready,No,1
13,100,Positive,High,10,Fully Approved,Yes,Medium,Price Too High; Security / Compliance Concerns,Very High,Verbal Agreement,Compliance-driven Requirements,No Risk Identified,No,89.1,Fully Ready,No,84
7,47.3,Negative,Medium,6,Under Review,No,Medium,Price Too High; Security / Compliance Concerns,High,Rescheduled,Enterprise-grade Security,Timeline Conflict,No,28.6,Ready,No,25
4,62.8,Neutral,Low,3,Under Review,No,High,No Objections,Low,Rescheduled,Customized Integration,Timeline Conflict,Yes,69.1,Partially Ready,No,34
11,71.9,Positive,Medium,7,Fully Approved,Yes,Critical,No Objections,Very High,Proposal Sent,Basic Feature Set,No Risk Identified,Yes,99.7,Fully Ready,Yes,80
7,51.6,Neutral,Medium,8,Partially Approved,Indirect,Medium,No Objections,Medium,Discussed Requirements,Standard Package,Timeline Conflict,No,72.3,Partially Ready,Yes,56
3,2.3,Negative,Low,1,Under Review,No,High,Security / Compliance Concerns; Competitor Preference,Low,No Show / Cancelled,Scalable Infrastructure,Budget Constraints,Yes,0,Not Ready,No,1
15,81.2,Positive,High,10,Fully Approved,Yes,Critical,No Objections,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,100,Fully Ready,Yes,99
1,0,Negative,Low,2,Not Allocated,No,Low,No Objections,Low,No Show / Cancelled,Scalable Infrastructure,Timeline Conflict,No,15.8,Not Ready,No,7
5,67.4,Positive,High,9,Fully Approved,Yes,Medium,No Objections,Very High,Proposal Sent,Enterprise-grade Security,Internal Politics,No,84.7,Partially Ready,No,72
1,5.1,Negative,Low,4,Not Allocated,No,Low,Security / Compliance Concerns,Low,No Show / Cancelled,Standard Package,Internal Politics,No,24.7,Not Ready,Yes,4
9,92.9,Positive,High,9,Fully Approved,Yes,Critical,No Objections,High,Verbal Agreement,Multi-department Rollout,No Risk Identified,Yes,98.4,Fully Ready,No,90
6,48.6,Negative,Medium,4,Under Review,Indirect,Medium,Unfavorable Contract Terms; Poor Past Experience / Support,High,Discussed Requirements,Enterprise-grade Security,Competitor Pressure,No,59,Partially Ready,Yes,34
1,28.4,Neutral,Low,4,Not Allocated,Indirect,Medium,No Objections,High,Rescheduled,Compliance-driven Requirements,Internal Politics,No,47.2,Partially Ready,No,26
8,100,Positive,High,10,Fully Approved,Yes,High,Long Implementation Time,Very High,Verbal Agreement,Basic Feature Set,No Risk Identified,Yes,100,Fully Ready,No,82
6,80.6,Positive,Medium,6,Partially Approved,Yes,Critical,No Objections,Very High,Discussed Requirements,Compliance-driven Requirements,No Risk Identified,No,45,Ready,No,74
18,93.2,Positive,High,9,Fully Approved,Yes,High,Competitor Preference,Very High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,96.4,Fully Ready,Yes,88
8,4,Neutral,Low,1,Not Allocated,No,Medium,Price Too High,Medium,No Show / Cancelled,Basic Feature Set,Timeline Conflict,Yes,3.5,Not Ready,No,1
8,91.6,Positive,High,10,Partially Approved,Yes,High,No Objections,Very High,Verbal Agreement,Standard Package,No Risk Identified,Yes,65.9,Ready,Yes,75
7,66,Positive,Medium,7,Fully Approved,Yes,Critical,No Objections,Very High,Discussed Requirements,Standard Package,No Risk Identified,No,88.9,Ready,No,80
1,0,Negative,Low,2,Not Allocated,No,Medium,Budget Not Allocated,Low,No Show / Cancelled,Standard Package,Competitor Pressure,Yes,38.1,Not Ready,No,1
2,58,Positive,Medium,6,Partially Approved,Indirect,Medium,Competitor Preference,High,No Show / Cancelled,API / Technical Integration,Timeline Conflict,Yes,79.2,Fully Ready,Yes,41
8,71.8,Positive,High,7,Under Review,Yes,Critical,No Objections,Very High,Verbal Agreement,Customized Integration,Stakeholder Turnover,Yes,72.4,Ready,Yes,71
7,80.1,Neutral,High,10,Fully Approved,Yes,Critical,Competitor Preference,High,Verbal Agreement,Compliance-driven Requirements,No Risk Identified,No,100,Fully Ready,Yes,90
2,3.5,Negative,Low,1,Not Allocated,No,Medium,Competitor Preference; Poor Past Experience / Support,Low,No Show / Cancelled,Customized Integration,Stakeholder Turnover,No,1.4,Not Ready,No,1
1,1.2,Negative,Low,1,Not Allocated,No,Low,Missing Features; Long Implementation Time; Unfavorable Contract Terms,High,Rescheduled,Compliance-driven Requirements,Economic Uncertainty,Yes,21.7,Partially Ready,No,1
4,61.5,Neutral,Medium,7,Under Review,No,Medium,Long Implementation Time; Poor Past Experience / Support,High,Discussed Requirements,Basic Feature Set,Technical Concerns,No,29,Partially Ready,Yes,36
4,35.4,Negative,Medium,2,Not Allocated,No,Medium,Price Too High; Budget Not Allocated; Security / Compliance Concerns; Competitor Preference; No Urgent Business Need,Medium,No Show / Cancelled,Standard Package,Competitor Pressure,No,26.4,Not Ready,No,1
10,74.6,Positive,Medium,6,Partially Approved,Yes,High,No Urgent Business Need,Very High,Proposal Sent,Standard Package,No Risk Identified,No,78.6,Ready,Yes,69
11,86.9,Positive,High,9,Fully Approved,Yes,Critical,No Objections,Very High,Proposal Sent,Multi-department Rollout,No Risk Identified,No,63,Fully Ready,No,87
1,0,Negative,Low,2,Not Allocated,No,Low,Long Implementation Time,Low,Discussed Requirements,Enterprise-grade Security,No Risk Identified,No,1.9,Not Ready,No,8
5,0,Negative,Low,1,Not Allocated,No,Medium,No Objections,Low,No Show / Cancelled,Enterprise-grade Security,Economic Uncertainty,Yes,0.5,Not Ready,No,1
2,26,Negative,Medium,4,Not Allocated,No,Low,No Urgent Business Need,Low,No Show / Cancelled,API / Technical Integration,No Risk Identified,Yes,56.5,Partially Ready,Yes,16
8,33,Neutral,Medium,6,Under Review,Indirect,Medium,No Objections,High,Discussed Requirements,Customized Integration,Economic Uncertainty,Yes,59.3,Partially Ready,No,34
3,23.4,Negative,Low,3,Under Review,No,Medium,Budget Not Allocated; Missing Features; Security / Compliance Concerns; Competitor Preference; Lack of Internal Buy-in,Medium,No Show / Cancelled,Customized Integration,Stakeholder Turnover,No,15,Partially Ready,Yes,1
2,68.2,Neutral,Low,6,Partially Approved,Indirect,Medium,Price Too High,Medium,Discussed Requirements,Basic Feature Set,No Risk Identified,No,48,Partially Ready,No,48
