row,total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,main_objections,product_interest_level,meeting_outcome,customer_requirements,risk_factors,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,predicted_deal_score,priority_band,recommended_action,absolute_error,error
108,8,86.0,Positive,High,7,Under Review,Yes,High,Long Implementation Time,Very High,Verbal Agreement,Multi-department Rollout,No Risk Identified,No,72.3,Not Ready,Yes,65,66.34,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.34,1.3400000000000034
109,8,79.3,Neutral,High,7,Under Review,Indirect,Critical,Lack of Internal Buy-in; Long Implementation Time,Very High,Verbal Agreement,Customized Integration,No Risk Identified,No,52.6,Not Ready,Yes,54,50.63,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.37,-3.3699999999999974
110,7,20.8,Neutral,Medium,4,Not Allocated,No,Low,No Objections,Very High,Proposal Sent,Multi-department Rollout,No Risk Identified,No,42.3,Partially Ready,No,41,37.23,LOW,Qualify further before investing sales capacity.,3.77,-3.770000000000003
111,6,12.1,Neutral,Low,6,Partially Approved,Yes,Critical,Missing Features,Low,Rescheduled,Customized Integration,No Risk Identified,No,13.5,Not Ready,No,43,47.02,LOW,Qualify further before investing sales capacity.,4.02,4.020000000000003
112,7,25.9,Neutral,Medium,2,Under Review,No,High,No Objections,Very High,Rescheduled,Multi-department Rollout,Stakeholder Turnover,Yes,90.8,Fully Ready,Yes,44,41.45,LOW,Qualify further before investing sales capacity.,2.55,-2.549999999999997
113,4,42.8,Negative,Medium,2,Partially Approved,Indirect,Medium,No Objections,Low,No Show / Cancelled,Customized Integration,No Risk Identified,Yes,18.7,Partially Ready,No,31,42.33,LOW,Qualify further before investing sales capacity.,11.33,11.329999999999998
114,7,77.7,Positive,High,7,Under Review,Indirect,Medium,Budget Not Allocated; Competitor Preference; Price Too High,Very High,Verbal Agreement,Customized Integration,Stakeholder Turnover,Yes,47.8,Fully Ready,Yes,67,53.39,MEDIUM,"Nurture - resolve open objections, confirm budget.",13.61,-13.61
115,4,16.3,Negative,High,1,Partially Approved,No,High,No Objections,Low,Rescheduled,Basic Feature Set,No Risk Identified,No,41.9,Partially Ready,No,46,46.47,LOW,Qualify further before investing sales capacity.,0.47,0.46999999999999886
116,6,30.4,Negative,Medium,5,Partially Approved,No,High,Missing Features,Low,No Show / Cancelled,Standard Package,Stakeholder Turnover,No,12.8,Ready,No,31,43.53,LOW,Qualify further before investing sales capacity.,12.53,12.530000000000001
117,5,38.0,Positive,Medium,8,Under Review,Yes,Critical,Price Too High,Low,Proposal Sent,Basic Feature Set,No Risk Identified,Yes,68.4,Partially Ready,No,52,53.93,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.93,1.9299999999999997
118,5,62.7,Negative,High,1,Fully Approved,No,High,No Objections,Very High,Rescheduled,API / Technical Integration,No Risk Identified,No,73.0,Ready,Yes,69,62.06,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.94,-6.939999999999998
119,4,80.3,Neutral,High,3,Under Review,Yes,High,Long Implementation Time; Security / Compliance Concerns; Unfavorable Contract Terms,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,9.6,Not Ready,No,51,50.53,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.47,-0.46999999999999886
120,7,45.7,Positive,Medium,9,Fully Approved,Yes,High,Competitor Preference,Medium,Verbal Agreement,Customized Integration,No Risk Identified,Yes,28.0,Partially Ready,Yes,83,74.42,MEDIUM,"Nurture - resolve open objections, confirm budget.",8.58,-8.579999999999998
121,6,55.6,Negative,High,3,Under Review,Yes,Medium,Budget Not Allocated,Very High,Discussed Requirements,Standard Package,Budget Constraints,No,86.6,Partially Ready,No,67,56.29,MEDIUM,"Nurture - resolve open objections, confirm budget.",10.71,-10.71
122,5,74.5,Positive,High,6,Partially Approved,Indirect,Critical,Lack of Internal Buy-in; Security / Compliance Concerns,Medium,Verbal Agreement,Multi-department Rollout,No Risk Identified,No,7.7,Not Ready,No,61,56.99,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.01,-4.009999999999998
123,10,92.4,Neutral,Medium,8,Not Allocated,Yes,High,Price Too High,High,Proposal Sent,Customized Integration,Technical Concerns,Yes,34.2,Ready,Yes,49,42.56,LOW,Qualify further before investing sales capacity.,6.44,-6.439999999999998
124,5,95.3,Neutral,Medium,8,Under Review,Indirect,Low,Budget Not Allocated; Competitor Preference; Security / Compliance Concerns,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,Yes,76.2,Not Ready,Yes,45,49.75,LOW,Qualify further before investing sales capacity.,4.75,4.75
125,11,8.9,Positive,High,10,Fully Approved,Yes,Critical,No Objections,Very High,Verbal Agreement,Customized Integration,No Risk Identified,No,62.6,Fully Ready,No,91,81.79,HIGH,Prioritise - push for close this cycle.,9.21,-9.209999999999994
126,10,17.9,Neutral,Medium,6,Partially Approved,Indirect,Critical,No Objections,High,Proposal Sent,API / Technical Integration,Economic Uncertainty,No,33.2,Ready,Yes,60,53.57,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.43,-6.43
127,3,8.6,Negative,Medium,3,Under Review,Indirect,Low,No Urgent Business Need,Very High,Rescheduled,Customized Integration,No Risk Identified,Yes,9.9,Ready,Yes,30,41.52,LOW,Qualify further before investing sales capacity.,11.52,11.520000000000003
128,2,27.8,Neutral,Low,6,Partially Approved,Yes,Low,Missing Features; Unfavorable Contract Terms,Medium,Rescheduled,Standard Package,No Risk Identified,No,32.6,Partially Ready,No,52,47.36,LOW,Qualify further before investing sales capacity.,4.64,-4.640000000000001
129,6,59.5,Positive,High,5,Under Review,Yes,Medium,Competitor Preference; Unfavorable Contract Terms,Low,Proposal Sent,Basic Feature Set,Economic Uncertainty,Yes,94.3,Partially Ready,No,58,51.1,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.9,-6.899999999999999
130,8,12.4,Positive,High,2,Not Allocated,Indirect,Critical,No Objections,Medium,Discussed Requirements,Multi-department Rollout,No Risk Identified,No,49.0,Fully Ready,Yes,46,42.83,LOW,Qualify further before investing sales capacity.,3.17,-3.1700000000000017
131,5,60.8,Negative,High,2,Partially Approved,Indirect,Critical,Poor Past Experience / Support,Very High,Rescheduled,Multi-department Rollout,Technical Concerns,No,56.8,Ready,Yes,48,52.22,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.22,4.219999999999999
132,7,19.5,Neutral,High,4,Under Review,Indirect,High,Budget Not Allocated; Poor Past Experience / Support,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,23.2,Partially Ready,No,44,45.39,LOW,Qualify further before investing sales capacity.,1.39,1.3900000000000006
133,4,72.3,Negative,Medium,2,Partially Approved,No,High,No Objections,High,Discussed Requirements,Standard Package,No Risk Identified,No,62.9,Not Ready,No,54,50.15,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.85,-3.8500000000000014
134,5,26.5,Positive,Low,9,Not Allocated,Yes,Low,Budget Not Allocated; Competitor Preference; Price Too High; Unfavorable Contract Terms,Medium,Proposal Sent,Compliance-driven Requirements,Competitor Pressure,Yes,88.8,Not Ready,No,27,34.29,LOW,Qualify further before investing sales capacity.,7.29,7.289999999999999
135,4,93.1,Positive,High,10,Under Review,Yes,Critical,No Objections,Medium,Verbal Agreement,Scalable Infrastructure,No Risk Identified,No,38.1,Fully Ready,Yes,70,72.83,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.83,2.8299999999999983
136,2,8.0,Negative,Low,1,Not Allocated,No,Medium,Lack of Internal Buy-in; Missing Features,Low,No Show / Cancelled,Customized Integration,Economic Uncertainty,No,20.6,Not Ready,No,22,20.1,VERY LOW,Deprioritise or disqualify.,1.9,-1.8999999999999986
137,4,72.6,Negative,High,3,Partially Approved,No,High,No Objections,High,Proposal Sent,Multi-department Rollout,Competitor Pressure,Yes,36.1,Not Ready,Yes,35,41.12,LOW,Qualify further before investing sales capacity.,6.12,6.119999999999997
138,9,3.5,Neutral,Medium,2,Not Allocated,Indirect,High,Competitor Preference,Low,Rescheduled,Scalable Infrastructure,Budget Constraints,Yes,11.5,Fully Ready,No,29,29.29,LOW,Qualify further before investing sales capacity.,0.29,0.28999999999999915
139,4,75.8,Positive,High,10,Fully Approved,Yes,Low,Long Implementation Time,Very High,Verbal Agreement,Compliance-driven Requirements,No Risk Identified,No,20.9,Partially Ready,No,77,78.89,HIGH,Prioritise - push for close this cycle.,1.89,1.8900000000000006
140,5,34.2,Neutral,Medium,5,Not Allocated,Indirect,Low,Lack of Internal Buy-in; Missing Features,High,Discussed Requirements,Scalable Infrastructure,Internal Politics,Yes,45.5,Ready,Yes,41,37.72,LOW,Qualify further before investing sales capacity.,3.28,-3.280000000000001
141,5,24.6,Neutral,Low,10,Partially Approved,Yes,Low,Long Implementation Time; Missing Features,Low,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,73.9,Not Ready,No,44,48.56,LOW,Qualify further before investing sales capacity.,4.56,4.560000000000002
142,6,52.4,Neutral,High,7,Fully Approved,Yes,Critical,No Objections,High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,85.9,Fully Ready,Yes,97,86.15,HIGH,Prioritise - push for close this cycle.,10.85,-10.849999999999994
143,9,10.2,Negative,Medium,4,Fully Approved,Indirect,High,No Objections,Low,Rescheduled,Basic Feature Set,Economic Uncertainty,Yes,78.5,Partially Ready,No,46,46.13,LOW,Qualify further before investing sales capacity.,0.13,0.13000000000000256
144,8,18.2,Positive,Low,7,Under Review,Yes,Medium,Competitor Preference; Long Implementation Time; Unfavorable Contract Terms,Low,Discussed Requirements,Enterprise-grade Security,Budget Constraints,Yes,85.3,Partially Ready,No,37,34.93,LOW,Qualify further before investing sales capacity.,2.07,-2.0700000000000003
145,6,39.3,Neutral,Low,9,Partially Approved,Indirect,Low,Missing Features; Poor Past Experience / Support; Price Too High; Security / Compliance Concerns,High,Verbal Agreement,Enterprise-grade Security,Economic Uncertainty,No,26.1,Ready,No,41,49.6,LOW,Qualify further before investing sales capacity.,8.6,8.600000000000001
146,7,44.1,Neutral,Low,5,Under Review,Yes,Low,Competitor Preference; Missing Features; No Urgent Business Need,Low,Discussed Requirements,Compliance-driven Requirements,Technical Concerns,Yes,66.2,Partially Ready,No,31,31.93,LOW,Qualify further before investing sales capacity.,0.93,0.9299999999999997
147,7,91.5,Neutral,Medium,7,Under Review,Indirect,Medium,Lack of Internal Buy-in; Missing Features; Price Too High,Medium,Rescheduled,Enterprise-grade Security,Stakeholder Turnover,No,87.8,Ready,Yes,43,43.08,LOW,Qualify further before investing sales capacity.,0.08,0.0799999999999983
148,10,93.7,Positive,Low,8,Fully Approved,Yes,Low,No Objections,Low,Verbal Agreement,API / Technical Integration,No Risk Identified,Yes,82.3,Partially Ready,Yes,76,70.27,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.73,-5.730000000000004
149,6,67.5,Positive,High,8,Fully Approved,Yes,High,Security / Compliance Concerns,Medium,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,81.7,Ready,No,85,81.76,HIGH,Prioritise - push for close this cycle.,3.24,-3.239999999999995
150,6,82.8,Neutral,High,7,Fully Approved,Yes,Medium,Security / Compliance Concerns,High,Discussed Requirements,Compliance-driven Requirements,Economic Uncertainty,No,46.1,Ready,Yes,70,68.54,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.46,-1.4599999999999937
151,8,92.8,Positive,Medium,2,Partially Approved,Yes,High,Competitor Preference; Unfavorable Contract Terms,High,Verbal Agreement,Compliance-driven Requirements,No Risk Identified,Yes,20.3,Fully Ready,Yes,72,70.13,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.87,-1.8700000000000045
152,4,49.2,Negative,Medium,3,Under Review,No,High,No Objections,High,No Show / Cancelled,Basic Feature Set,No Risk Identified,No,16.7,Partially Ready,No,39,43.45,LOW,Qualify further before investing sales capacity.,4.45,4.450000000000003
153,8,88.9,Positive,Low,8,Under Review,No,Medium,Long Implementation Time; Missing Features,High,Proposal Sent,Enterprise-grade Security,Stakeholder Turnover,No,18.0,Not Ready,Yes,27,37.14,LOW,Qualify further before investing sales capacity.,10.14,10.14
154,6,72.0,Positive,High,7,Partially Approved,Yes,Critical,No Objections,Low,Discussed Requirements,Standard Package,Budget Constraints,No,75.6,Ready,Yes,82,71.38,MEDIUM,"Nurture - resolve open objections, confirm budget.",10.62,-10.620000000000005
155,6,75.2,Negative,Low,3,Under Review,Indirect,Low,Budget Not Allocated; Long Implementation Time; Poor Past Experience / Support; Price Too High,Medium,Proposal Sent,API / Technical Integration,Competitor Pressure,Yes,40.6,Not Ready,Yes,32,29.07,LOW,Qualify further before investing sales capacity.,2.93,-2.9299999999999997
156,5,60.4,Neutral,Low,4,Fully Approved,Yes,Medium,Competitor Preference; No Urgent Business Need; Price Too High,Medium,Discussed Requirements,Multi-department Rollout,Economic Uncertainty,Yes,82.7,Ready,Yes,54,51.26,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.74,-2.740000000000002
157,7,68.4,Negative,Medium,2,Fully Approved,No,Medium,Competitor Preference; Long Implementation Time,Very High,Proposal Sent,API / Technical Integration,Timeline Conflict,Yes,73.6,Not Ready,Yes,50,47.16,LOW,Qualify further before investing sales capacity.,2.84,-2.8400000000000034
158,7,7.3,Negative,Medium,6,Not Allocated,No,Medium,Long Implementation Time; Price Too High,Low,Discussed Requirements,Multi-department Rollout,Technical Concerns,No,81.1,Not Ready,No,29,19.88,VERY LOW,Deprioritise or disqualify.,9.12,-9.120000000000001
159,14,74.2,Positive,High,4,Under Review,Indirect,Critical,Price Too High,Very High,Proposal Sent,API / Technical Integration,Budget Constraints,No,82.0,Fully Ready,No,51,50.49,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.51,-0.509999999999998
160,7,37.4,Negative,Low,9,Fully Approved,Indirect,High,Lack of Internal Buy-in,Low,Rescheduled,Multi-department Rollout,No Risk Identified,No,74.6,Partially Ready,Yes,50,50.38,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.38,0.38000000000000256
161,5,11.8,Positive,Medium,9,Not Allocated,Indirect,Medium,No Objections,High,Proposal Sent,API / Technical Integration,Budget Constraints,No,87.2,Ready,No,41,44.51,LOW,Qualify further before investing sales capacity.,3.51,3.509999999999998
162,5,10.5,Negative,Low,2,Under Review,No,Medium,Missing Features,Medium,Rescheduled,Basic Feature Set,No Risk Identified,No,14.1,Not Ready,No,45,37.57,LOW,Qualify further before investing sales capacity.,7.43,-7.43
163,7,69.1,Positive,Low,9,Under Review,Yes,Critical,Long Implementation Time,Very High,Discussed Requirements,Multi-department Rollout,Economic Uncertainty,No,54.2,Not Ready,No,41,44.51,LOW,Qualify further before investing sales capacity.,3.51,3.509999999999998
164,8,73.9,Neutral,Medium,1,Fully Approved,Yes,Medium,No Objections,Low,Rescheduled,Multi-department Rollout,No Risk Identified,No,64.9,Not Ready,No,49,57.4,MEDIUM,"Nurture - resolve open objections, confirm budget.",8.4,8.399999999999999
165,5,43.5,Positive,Medium,9,Not Allocated,Yes,Medium,Budget Not Allocated; Long Implementation Time,Very High,Proposal Sent,Multi-department Rollout,Competitor Pressure,Yes,9.3,Not Ready,No,35,40.44,LOW,Qualify further before investing sales capacity.,5.44,5.439999999999998
166,6,62.0,Positive,Low,4,Fully Approved,Yes,High,Poor Past Experience / Support,Medium,Proposal Sent,Standard Package,No Risk Identified,No,67.5,Ready,No,78,72.52,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.48,-5.480000000000004
167,6,19.2,Positive,Medium,9,Fully Approved,No,Critical,Lack of Internal Buy-in; Long Implementation Time,Low,Discussed Requirements,Enterprise-grade Security,Internal Politics,Yes,41.0,Partially Ready,No,39,38.78,LOW,Qualify further before investing sales capacity.,0.22,-0.21999999999999886
168,5,50.2,Neutral,High,6,Not Allocated,No,Medium,Price Too High,Low,Rescheduled,Compliance-driven Requirements,Technical Concerns,No,29.3,Ready,Yes,36,32.0,LOW,Qualify further before investing sales capacity.,4.0,-4.0
169,5,70.0,Negative,Medium,7,Partially Approved,No,High,Lack of Internal Buy-in; Missing Features,High,Proposal Sent,Basic Feature Set,No Risk Identified,No,84.6,Ready,No,64,54.58,MEDIUM,"Nurture - resolve open objections, confirm budget.",9.42,-9.420000000000002
170,3,81.9,Positive,Medium,7,Under Review,Yes,Low,Budget Not Allocated; Missing Features,Very High,Proposal Sent,Customized Integration,No Risk Identified,Yes,28.7,Not Ready,No,50,48.75,LOW,Qualify further before investing sales capacity.,1.25,-1.25
171,8,61.4,Negative,High,4,Fully Approved,Indirect,High,Competitor Preference,High,Proposal Sent,Standard Package,No Risk Identified,Yes,27.4,Ready,Yes,70,66.44,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.56,-3.5600000000000023
172,2,51.2,Negative,High,2,Under Review,No,High,Lack of Internal Buy-in; Long Implementation Time,Medium,Discussed Requirements,Compliance-driven Requirements,Budget Constraints,No,27.7,Not Ready,Yes,23,23.8,VERY LOW,Deprioritise or disqualify.,0.8,0.8000000000000007
173,3,14.4,Negative,Medium,1,Under Review,No,Low,No Objections,Very High,Rescheduled,Compliance-driven Requirements,No Risk Identified,No,7.3,Ready,Yes,41,42.24,LOW,Qualify further before investing sales capacity.,1.24,1.240000000000002
174,6,84.8,Neutral,Medium,3,Fully Approved,Yes,Critical,No Objections,Medium,Verbal Agreement,Multi-department Rollout,Technical Concerns,No,53.6,Partially Ready,Yes,68,71.83,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.83,3.8299999999999983
175,8,35.5,Negative,High,6,Partially Approved,No,Medium,Long Implementation Time; Security / Compliance Concerns,High,Discussed Requirements,Multi-department Rollout,Competitor Pressure,Yes,96.3,Not Ready,No,43,36.66,LOW,Qualify further before investing sales capacity.,6.34,-6.340000000000003
176,8,67.8,Positive,Medium,4,Fully Approved,No,Medium,Competitor Preference,Low,Proposal Sent,Multi-department Rollout,Competitor Pressure,Yes,80.4,Not Ready,Yes,39,47.28,LOW,Qualify further before investing sales capacity.,8.28,8.280000000000001
177,8,14.0,Neutral,Low,3,Partially Approved,No,High,Competitor Preference; Missing Features; Unfavorable Contract Terms,Low,Discussed Requirements,Basic Feature Set,Internal Politics,Yes,38.4,Not Ready,No,27,24.56,VERY LOW,Deprioritise or disqualify.,2.44,-2.4400000000000013
178,11,19.8,Positive,Low,9,Under Review,Indirect,High,Budget Not Allocated,High,Proposal Sent,Customized Integration,No Risk Identified,No,74.9,Ready,No,49,46.67,LOW,Qualify further before investing sales capacity.,2.33,-2.3299999999999983
179,9,88.0,Neutral,Medium,3,Under Review,Yes,High,Competitor Preference; Poor Past Experience / Support,High,Proposal Sent,Multi-department Rollout,Economic Uncertainty,Yes,91.4,Fully Ready,Yes,39,51.73,MEDIUM,"Nurture - resolve open objections, confirm budget.",12.73,12.729999999999997
180,4,4.4,Neutral,Low,6,Not Allocated,No,Low,Price Too High; Security / Compliance Concerns,Low,No Show / Cancelled,Enterprise-grade Security,Economic Uncertainty,Yes,65.2,Not Ready,No,22,19.17,VERY LOW,Deprioritise or disqualify.,2.83,-2.8299999999999983
181,1,31.3,Negative,Low,4,Partially Approved,Indirect,Medium,Competitor Preference,Medium,No Show / Cancelled,Scalable Infrastructure,Stakeholder Turnover,Yes,36.4,Ready,Yes,34,37.19,LOW,Qualify further before investing sales capacity.,3.19,3.1899999999999977
182,7,40.0,Positive,Low,9,Under Review,Yes,Low,Competitor Preference; Long Implementation Time; Missing Features,Low,Rescheduled,Enterprise-grade Security,Competitor Pressure,Yes,70.7,Not Ready,No,41,35.68,LOW,Qualify further before investing sales capacity.,5.32,-5.32
183,4,55.0,Negative,Medium,1,Not Allocated,No,Critical,Lack of Internal Buy-in,High,No Show / Cancelled,Multi-department Rollout,Technical Concerns,No,14.4,Ready,No,27,27.57,LOW,Qualify further before investing sales capacity.,0.57,0.5700000000000003
184,6,76.8,Positive,Medium,8,Under Review,Yes,Medium,No Objections,High,Proposal Sent,Basic Feature Set,No Risk Identified,No,88.2,Ready,No,69,66.69,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.31,-2.3100000000000023
185,4,50.8,Negative,High,1,Not Allocated,No,High,Budget Not Allocated; Lack of Internal Buy-in,Very High,No Show / Cancelled,Scalable Infrastructure,Stakeholder Turnover,No,11.9,Fully Ready,No,33,34.92,LOW,Qualify further before investing sales capacity.,1.92,1.9200000000000017
186,5,33.2,Positive,High,10,Partially Approved,Yes,High,Unfavorable Contract Terms,High,Verbal Agreement,API / Technical Integration,No Risk Identified,Yes,57.5,Fully Ready,Yes,76,81.65,HIGH,Prioritise - push for close this cycle.,5.65,5.650000000000006
187,2,33.6,Negative,High,5,Partially Approved,Indirect,Critical,Price Too High,Very High,Discussed Requirements,API / Technical Integration,Stakeholder Turnover,No,3.1,Partially Ready,Yes,50,47.08,LOW,Qualify further before investing sales capacity.,2.92,-2.9200000000000017
188,4,23.3,Negative,Medium,1,Fully Approved,Indirect,High,Lack of Internal Buy-in,Very High,Discussed Requirements,Enterprise-grade Security,No Risk Identified,Yes,13.2,Partially Ready,Yes,45,54.37,MEDIUM,"Nurture - resolve open objections, confirm budget.",9.37,9.369999999999997
189,10,54.0,Neutral,Low,5,Under Review,Yes,High,No Objections,Medium,Discussed Requirements,Scalable Infrastructure,Technical Concerns,Yes,84.3,Ready,No,43,40.57,LOW,Qualify further before investing sales capacity.,2.43,-2.4299999999999997
190,5,7.6,Negative,Medium,1,Not Allocated,No,High,Poor Past Experience / Support,Low,No Show / Cancelled,Enterprise-grade Security,Internal Politics,No,2.5,Not Ready,No,19,21.41,VERY LOW,Deprioritise or disqualify.,2.41,2.41
191,5,7.0,Neutral,Low,2,Partially Approved,No,High,Lack of Internal Buy-in; Missing Features,Low,No Show / Cancelled,Compliance-driven Requirements,No Risk Identified,No,27.1,Fully Ready,No,41,37.37,LOW,Qualify further before investing sales capacity.,3.63,-3.6300000000000026
192,10,58.2,Neutral,High,4,Partially Approved,Indirect,High,No Objections,Medium,Discussed Requirements,API / Technical Integration,No Risk Identified,No,84.9,Ready,No,63,57.93,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.07,-5.07
193,6,21.4,Neutral,Medium,2,Not Allocated,No,Medium,Lack of Internal Buy-in,High,No Show / Cancelled,Standard Package,No Risk Identified,Yes,29.6,Ready,Yes,37,39.36,LOW,Qualify further before investing sales capacity.,2.36,2.3599999999999994
194,6,4.8,Negative,Low,2,Not Allocated,No,High,Lack of Internal Buy-in; Price Too High,Low,No Show / Cancelled,Scalable Infrastructure,Stakeholder Turnover,No,17.0,Fully Ready,No,34,29.71,LOW,Qualify further before investing sales capacity.,4.29,-4.289999999999999
195,4,98.8,Positive,Medium,10,Fully Approved,Yes,Low,No Objections,Very High,Verbal Agreement,Customized Integration,No Risk Identified,No,65.9,Fully Ready,Yes,96,86.13,HIGH,Prioritise - push for close this cycle.,9.87,-9.870000000000005
196,5,6.7,Positive,Medium,10,Under Review,Yes,High,No Objections,Low,Proposal Sent,Compliance-driven Requirements,Budget Constraints,Yes,58.7,Fully Ready,No,45,47.07,LOW,Qualify further before investing sales capacity.,2.07,2.0700000000000003
197,3,84.4,Neutral,High,3,Fully Approved,No,Medium,No Objections,High,Proposal Sent,Scalable Infrastructure,Technical Concerns,No,22.9,Not Ready,Yes,55,54.35,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.65,-0.6499999999999986
198,5,32.3,Positive,Low,8,Partially Approved,No,Low,Competitor Preference; Price Too High,Low,Discussed Requirements,Basic Feature Set,Economic Uncertainty,Yes,34.5,Partially Ready,No,35,32.28,LOW,Qualify further before investing sales capacity.,2.72,-2.719999999999999
199,7,87.3,Neutral,Medium,7,Fully Approved,Yes,Critical,Missing Features,Low,Discussed Requirements,Basic Feature Set,No Risk Identified,No,30.3,Partially Ready,Yes,84,69.18,MEDIUM,"Nurture - resolve open objections, confirm budget.",14.82,-14.819999999999993
200,9,45.4,Neutral,Medium,4,Under Review,Indirect,High,Security / Compliance Concerns,High,Proposal Sent,Enterprise-grade Security,Internal Politics,No,50.3,Ready,Yes,52,42.99,LOW,Qualify further before investing sales capacity.,9.01,-9.009999999999998
201,4,42.2,Neutral,Low,6,Partially Approved,Indirect,High,Unfavorable Contract Terms,Medium,Discussed Requirements,Customized Integration,No Risk Identified,No,3.8,Not Ready,No,37,45.34,LOW,Qualify further before investing sales capacity.,8.34,8.340000000000003
202,10,43.2,Positive,Low,6,Partially Approved,Indirect,High,No Objections,Medium,Proposal Sent,Enterprise-grade Security,No Risk Identified,No,60.7,Fully Ready,Yes,65,59.99,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.01,-5.009999999999998
203,5,91.8,Positive,Medium,8,Fully Approved,Yes,Low,No Objections,Very High,Proposal Sent,Standard Package,No Risk Identified,Yes,61.7,Fully Ready,No,81,82.57,HIGH,Prioritise - push for close this cycle.,1.57,1.5699999999999932
204,9,90.2,Neutral,Low,5,Under Review,Indirect,Low,Lack of Internal Buy-in,Low,Discussed Requirements,Enterprise-grade Security,No Risk Identified,Yes,94.6,Partially Ready,No,33,37.28,LOW,Qualify further before investing sales capacity.,4.28,4.280000000000001
205,7,24.3,Positive,Medium,10,Under Review,Yes,Medium,Missing Features; Poor Past Experience / Support,Medium,Verbal Agreement,Basic Feature Set,Budget Constraints,Yes,79.8,Partially Ready,No,57,55.09,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.91,-1.9099999999999966
206,8,32.9,Negative,Low,2,Fully Approved,No,Low,Competitor Preference; Lack of Internal Buy-in; Long Implementation Time; Price Too High,Low,Rescheduled,Compliance-driven Requirements,Competitor Pressure,Yes,52.9,Not Ready,No,15,18.14,VERY LOW,Deprioritise or disqualify.,3.14,3.1400000000000006
207,7,77.1,Positive,Low,7,Not Allocated,Indirect,Medium,Lack of Internal Buy-in,Medium,Proposal Sent,Scalable Infrastructure,Internal Politics,No,43.5,Fully Ready,No,42,43.8,LOW,Qualify further before investing sales capacity.,1.8,1.7999999999999972
208,9,24.0,Neutral,Medium,5,Partially Approved,Indirect,High,Missing Features; Poor Past Experience / Support,Low,Discussed Requirements,Compliance-driven Requirements,No Risk Identified,No,45.2,Not Ready,No,34,41.03,LOW,Qualify further before investing sales capacity.,7.03,7.030000000000001
209,12,48.6,Neutral,Medium,5,Under Review,Indirect,Critical,Competitor Preference; Poor Past Experience / Support,Medium,Discussed Requirements,Compliance-driven Requirements,No Risk Identified,Yes,54.5,Fully Ready,No,38,38.83,LOW,Qualify further before investing sales capacity.,0.83,0.8299999999999983
210,4,56.0,Neutral,High,5,Under Review,No,Low,No Objections,Very High,Discussed Requirements,Multi-department Rollout,No Risk Identified,No,89.5,Ready,Yes,49,50.12,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.12,1.1199999999999974
211,4,62.4,Negative,Medium,6,Partially Approved,No,Medium,Long Implementation Time,Medium,No Show / Cancelled,Customized Integration,Budget Constraints,No,53.2,Not Ready,Yes,41,33.61,LOW,Qualify further before investing sales capacity.,7.39,-7.390000000000001
212,7,3.8,Negative,Medium,1,Not Allocated,No,Critical,Lack of Internal Buy-in; Price Too High,Medium,Rescheduled,Customized Integration,Internal Politics,No,95.3,Fully Ready,No,25,28.62,LOW,Qualify further before investing sales capacity.,3.62,3.620000000000001
213,5,34.8,Neutral,High,7,Partially Approved,Yes,Medium,Long Implementation Time,Medium,Proposal Sent,Customized Integration,No Risk Identified,No,76.5,Partially Ready,No,67,63.49,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.51,-3.509999999999998
